AvatarPosition;Email;Framecount;HandPositionChange;HandRotation;HitDetected;HitPatternID;HitTotal;PatternID;SequenceID;SessionID;SewuenceID;SpeedModifier;SteeringType;Timestamp;TotalHandPositionChange;TotalHandRotation
0,7276583;anonymous;1189;0,001711428;6,548925;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.0163;12,30427;-1349,916
0,9509528;anonymous;1190;0,005090552;8,558575;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.0434;12,30936;-1341,357
1,069109;anonymous;1191;0,000943411;9,621978;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.0490;12,3103;-1331,735
0,3823677;anonymous;1192;0,01223624;3,441309;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.0910;12,32254;-1328,294
0,2853671;anonymous;1193;0,00330143;2,568304;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.1170;12,32584;-1325,725
0,3607701;anonymous;1194;0,001449851;3,246931;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.1314;12,32729;-1322,478
0,4799252;anonymous;1195;0,000491435;4,319327;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.1452;12,32778;-1318,159
0,4799252;anonymous;1196;0,004019045;4,876612;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.1714;12,3318;-1313,282
0,5319633;anonymous;1197;0,0005550319;4,78767;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.1851;12,33235;-1308,495
0,5121726;anonymous;1198;0,001252035;4,609554;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.1995;12,33361;-1303,885
0,5121726;anonymous;1199;0,002378749;4,569292;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.2143;12,33599;-1299,316
0,5237308;anonymous;1200;0,002062089;4,713577;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.2291;12,33805;-1294,602
0,5237308;anonymous;1201;0,001168267;4,851828;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.2551;12,33922;-1289,75
0,5237308;anonymous;1202;0,000736837;4,839346;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.2695;12,33995;-1284,911
0,5237308;anonymous;1203;0,0002059027;5,040026;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.2832;12,34016;-1279,871
0,5237308;anonymous;1204;0,0001335088;4,978548;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.2971;12,34029;-1274,893
0,5237308;anonymous;1205;0,00095879;4,78167;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.3125;12,34125;-1270,111
0,5237308;anonymous;1206;0,002134992;3,965662;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.3383;12,34339;-1266,145
0,5237308;anonymous;1207;0,0005143694;3,831;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.3521;12,3439;-1262,314
0,5237308;anonymous;1208;0,001378973;3,930266;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.3660;12,34528;-1258,384
0,5237308;anonymous;1209;0,0006642264;3,943363;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.3794;12,34594;-1254,441
0,5237308;anonymous;1210;8,060753E-05;4,129564;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.3975;12,34602;-1250,311
0,5237308;anonymous;1211;0,0003259431;4,189806;FALSE;NULL;0;0;NULL;8e302f75-929e-40ec-a535-0b7cc68c8e19;1;1;FlipMapCondition;2023-05-18 12:52:53.4205;12,34635;-1246,121
