AvatarPosition;Email;Framecount;HandPositionChange;HandRotation;HitDetected;HitPatternID;HitTotal;PatternID;SequenceID;SessionID;SpeedModifier;SteeringType;Timestamp;TotalHandPositionChange;TotalHandRotation
-0,8049113;anonymous;268;0,001710809;-7,244202;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:29.2082;11,96484;-457,7065
-0,9304708;anonymous;269;0,004603229;-8,374237;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:29.2554;11,96944;-466,0807
-1,050958;anonymous;270;0,002831452;-9,458618;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:29.2639;11,97227;-475,5393
-1,050958;anonymous;271;0,003698263;-9,367462;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:29.2768;11,97597;-484,9068
-0,8002692;anonymous;272;0,003065762;-7,202423;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:29.2925;11,97904;-492,1092
-0,6078186;anonymous;273;0,00335254;-5,470367;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:29.3553;11,98239;-497,5796
-0,6629333;anonymous;274;0,0008538754;-5,9664;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:29.3624;11,98324;-503,546
-0,6629333;anonymous;275;0,001171133;-6,664429;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:29.3753;11,98442;-510,2104
-0,7189839;anonymous;276;0,004628037;-6,470856;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:29.4025;11,98904;-516,6813
-0,5502964;anonymous;277;0,002672355;-4,952667;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:29.4164;11,99172;-521,6339
